科目\时间,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
资产合计(元),215218185984.61,213395810527.46,184579196650.8,172197875165.58,181624733882.27,183042372042.5,162550409174.43,165121648977.73,159888176447.28,159846674736.01,147147672376.16,129914832498.21,134404941948.3,134610116875.08,127780036133.2,120382739967.95,118978719020.08,112934538280.41,105146032285.13,95546499172.84,90690449521.88,86301463422.77,77559034189.14,72337744204.93,68769020638.42,65873165224.63,58651555116.65,55218131505.51,56029625704.11,55454150677.05,49274437880.71,43620710381.69,45902219986.09,44998208953.46,38834876462.71,39711451965.36,36407584735.6,34900868975.41,32894258255.33,30920149101.43,29161700183.57,25587579940.69,22810028763.64,21333828715.53,20430099477.79,19769623147.72,16737940329.3,15973750015.48,15625503484.21,15754187836.35
流动负债合计(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计(元),32728418219.03,45675127426.18,30407538525.41,29679987489.44,25889910825.91,41165991813.85,31728364035.1,45514872823.37,30566115048.51,42438186813.48,40990610327.23,33410357927.63,29255260792.92,38590489400,39399190859.07,41319489297.49,36524831704.5,37035995425.69,33862528824.06,28193337489.46,19749190532.26,20067293001.48,15640191631.06,8675962015.39,8838872511.46,10561614383.51,8310226545.14,8593954624.29,8576054059.48,11325058403.79,9454070178.52,7841603198.17,7306586930.67,9544172556.21,6843310993.93,11306676731.73,7876964333.57,9497489364.12,9810488139.05,9375193214.28,8621019159.31,7038190246.07,5088258570.2,4596615419.31,4434151285.77,5118057753.51,2522260598.27,2806773646.4,3017496005.17,4250769540.4
归属于母公司所有者权益合计(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所有者权益（或股东权益）合计(元),182489767765.58,167720683101.28,154171658125.39,142517887676.14,155734823056.36,141876380228.65,130822045139.33,119606776154.36,129322061398.77,117408487922.53,106157062048.93,96504474570.58,105149681155.38,96019627475.08,88380845274.13,79063250670.46,82453887315.58,75898542854.72,71283503461.07,67353161683.38,70941258989.62,66234170421.29,61918842558.08,63661782189.54,59930148126.96,55311550841.12,50341328571.51,46624176881.22,47453571644.63,44129092273.26,39820367702.19,35779107183.52,38595633055.42,35454036397.25,31991565468.78,28404775233.63,28530620402.03,25403379611.29,23083770116.28,21544955887.15,20540681024.26,18549389694.62,17721770193.44,16737213296.22,15995948192.02,14651565394.21,14215679731.03,13166976369.08,12608007479.04,11503418295.95
毛利 (营业收入减去营业成本),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自由现金流 (Operating Cashflow Method),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


重要比率,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
P/E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本每股收益(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
速动比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
